id,canonicalName,aliases,regions,category,family,priorityBatch,portionStrategies,highImpactUnknowns,status,pendingIngredientSlots
dish:in:roti,Roti,chapati,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:phulka,Phulka,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:tandoori-roti,Tandoori Roti,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:roomali-roti,Roomali Roti,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:missi-roti,Missi Roti,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:makki-di-roti,Makki di Roti,,Karnataka | South India | Punjab | North India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:bajra-roti,Bajra Roti,,Rajasthan | Northwest India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:jowar-bhakri,Jowar Bhakri,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:ragi-roti,Ragi Roti,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:akki-rotti,Akki Rotti,,Karnataka | South India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:thepla,Thepla,,Gujarat | Western India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:methi-thepla,Methi Thepla,,Gujarat | Western India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:bajra-rotla,Bajra Rotla,,Gujarat | Western India | Rajasthan | Northwest India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
